genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Evacuate The Dancefloor,Cascada,0jDWRUbxSn8zQlwFbeLHwo,Evacuate The Dancefloor,2009-01-01,4,207200
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Release Me,Agnes,4LiJE6pqgsTX3FtukW6bNh,Dance Love Pop (The Love Love Love Edition),2008-04-01,65,256213
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Crazy Stupid Love,"Cheryl, Tinie Tempah",5p5jXve0CXP3Za6xY2fylF,Only Human,2014-01-01,47,225150
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Kisses for Breakfast (feat. Popcaan),"Melissa Steel, Popcaan",4XgG7sibaeB42cwKLhNFj6,Kisses For Breakfast (feat. Popcaan),2014-06-12,0,211121
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Million Pound Girl (Badder Than Bad),Fuse ODG,3h7pI8oM2CpXiNSZbQuEtV,T.I.N.A.,2014-01-01,57,246124
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Boom Boom Pow,Black Eyed Peas,3oDFtOhcN08qeDPAK6MEQG,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,71,251440
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Telephone,"Lady Gaga, Beyoncé",6nCDnzErqalOaIY3EJM8NK,The Fame Monster (UK Deluxe),2009-01-01,64,220626
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,I Gotta Feeling,Black Eyed Peas,4kLLWz7srcuLKA7Et40PQR,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,83,289133
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Va Va Voom,Nicki Minaj,2jATUzETZL49e6SywauZKE,Pink Friday ... Roman Reloaded (Deluxe),2012-01-01,72,183560
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Temperature,Sean Paul,0k2GOhqsrxDTAbFFSdNJjT,The Trinity,2005-09-27,83,216320
